Property_ID,Address,Value_2023,Link,area_1,area
R334385,"1504 EDELWEISS DR, CEDAR PARK, TX  78613",511057,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334385,2714,"2,714 Sq. Ft"
R335121,"1701 TODD LN, CEDAR PARK, TX  78613",516423,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335121,2688,"2,688 Sq. Ft"
R335166,"2214 SHARON DR, CEDAR PARK, TX  78613",570090,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335166,2692,"2,692 Sq. Ft"
R341273,"1503 AUTUMN FIRE CV, AUSTIN, TX  78613",504102,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341273,2696,"2,696 Sq. Ft"
R341295,"1718 STAR LIGHT CIR, CEDAR PARK, TX  78613",570431,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341295,2698,"2,698 Sq. Ft"
R341337,"1743 STAR LIGHT CIR, CEDAR PARK, TX  78613",542653,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341337,2698,"2,698 Sq. Ft"
R341713,"1806 AUTUMN FIRE DR, CEDAR PARK, TX  78613",514406,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341713,2702,"2,702 Sq. Ft"
R341760,"1700 BOW RIDGE DR, CEDAR PARK, TX  78613",517163,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341760,2679,"2,679 Sq. Ft"
R359747,"1709 DEL NORTE CV, CEDAR PARK, TX  78613",495794,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359747,2681,"2,681 Sq. Ft"
R359812,"1701 BARRILLA ST, CEDAR PARK, TX  78613",479314,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359812,2688,"2,688 Sq. Ft"
R360122,"2406 SHARON DR, CEDAR PARK, TX  78613",512685,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R360122,2680,"2,680 Sq. Ft"
R364125,"2306 SANDRA DR, CEDAR PARK, TX  78613",524647,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364125,2701,"2,701 Sq. Ft"
R378426,"1105 VAN HORN WAY, CEDAR PARK, TX  78613",491576,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378426,2688,"2,688 Sq. Ft"
R334406,"1505 EDELWEISS DR, CEDAR PARK, TX  78613",483355,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334406,2652,"2,652 Sq. Ft"
R334435,"1607 AZALEA DR, CEDAR PARK, TX  78613",498171,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334435,2601,"2,601 Sq. Ft"
R334437,"1609 AZALEA DR, CEDAR PARK, TX  78613",483633,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334437,2626,"2,626 Sq. Ft"
R335110,"1811 TODD LN, CEDAR PARK, TX  78613",517804,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335110,2598,"2,598 Sq. Ft"
R335118,"1707 TODD LN, CEDAR PARK, TX  78613",521106,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335118,2792,"2,792 Sq. Ft"
R335134,"1701 TRACY MILLER LN, CEDAR PARK, TX  78613",505775,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335134,2652,"2,652 Sq. Ft"
R335153,"1606 SHARON PL, CEDAR PARK, TX  78613",516149,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335153,2734,"2,734 Sq. Ft"
R335162,"1611 SHARON PL, CEDAR PARK, TX  78613",529720,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335162,2798,"2,798 Sq. Ft"
R335170,"2206 SHARON DR, CEDAR PARK, TX  78613",493623,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335170,2635,"2,635 Sq. Ft"
R335172,"2202 SHARON DR, CEDAR PARK, TX  78613",491626,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335172,2610,"2,610 Sq. Ft"
R335176,"1710 TRACY MILLER LN, CEDAR PARK, TX  78613",517266,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335176,2726,"2,726 Sq. Ft"
R335184,"2303 SHARON DR, CEDAR PARK, TX  78613",495864,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335184,2670,"2,670 Sq. Ft"
R340320,"1612 EAGLE WING DR, CEDAR PARK, TX  78613",530076,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340320,2788,"2,788 Sq. Ft"
R340390,"2022 SIMBRAH DR, CEDAR PARK, TX  78613",496744,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340390,2620,"2,620 Sq. Ft"
