Property_ID,Address,Value_2023,Link,area
R304402,"1604 IRIS LN, CEDAR PARK, TX  78613","$1,227",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304402,-
R304404,"1606 IRIS LN, CEDAR PARK, TX  78613","$514,797",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304404,"2,296 Sq. Ft"
R304409,"1608 IRIS LN, CEDAR PARK, TX  78613","$382,889",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304409,"1,478 Sq. Ft"
R304411,"1610 IRIS LN, CEDAR PARK, TX  78613","$442,566",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304411,"2,240 Sq. Ft"
R304412,"1700 IRIS LN, CEDAR PARK, TX  78613","$450,057",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304412,"1,960 Sq. Ft"
R304414,"1704 IRIS LN, CEDAR PARK, TX  78613","$329,795",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304414,"1,271 Sq. Ft"
R304417,"1706 IRIS LN, CEDAR PARK, TX  78613","$419,133",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304417,"1,990 Sq. Ft"
R304419,"1708 IRIS LN, CEDAR PARK, TX  78613","$335,543",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304419,"1,482 Sq. Ft"
R304420,"1710 IRIS LN, CEDAR PARK, TX  78613","$426,154",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304420,"2,120 Sq. Ft"
R304421,"1800 IRIS LN, CEDAR PARK, TX  78613","$504,295",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304421,"2,090 Sq. Ft"
R304422,"1802 IRIS LN, CEDAR PARK, TX  78613","$398,270",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304422,"1,915 Sq. Ft"
R304423,"1804 IRIS LN, CEDAR PARK, TX  78613","$409,700",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304423,"1,794 Sq. Ft"
R304424,"1806 IRIS LN, CEDAR PARK, TX  78613","$392,646",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304424,"1,845 Sq. Ft"
R304425,"1808 IRIS LN, CEDAR PARK, TX  78613","$439,161",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304425,"2,132 Sq. Ft"
R304427,"1810 IRIS LN, CEDAR PARK, TX  78613","$355,401",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304427,"1,498 Sq. Ft"
R304428,"1812 IRIS LN, CEDAR PARK, TX  78613","$457,040",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304428,"2,424 Sq. Ft"
R304429,"1814 IRIS LN, CEDAR PARK, TX  78613","$479,692",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304429,"2,290 Sq. Ft"
R304431,"1816 IRIS LN, CEDAR PARK, TX  78613","$446,624",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304431,"2,409 Sq. Ft"
R304432,"1818 IRIS LN, CEDAR PARK, TX  78613","$405,680",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304432,"1,825 Sq. Ft"
R304434,"1813 LION HEART DR, CEDAR PARK, TX  78613","$343,674",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304434,"1,443 Sq. Ft"
R304435,"1811 LION HEART DR, CEDAR PARK, TX  78613","$412,523",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304435,"2,034 Sq. Ft"
R304438,"1809 LION HEART DR, CEDAR PARK, TX  78613","$472,792",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304438,"2,426 Sq. Ft"
R304439,"1807 LION HEART DR, CEDAR PARK, TX  78613","$361,095",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304439,"1,562 Sq. Ft"
R304440,"1805 LION HEART DR, CEDAR PARK, TX  78613","$436,323",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304440,"2,204 Sq. Ft"
R304442,"1803 LION HEART DR, CEDAR PARK, TX  78613","$382,742",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304442,"1,556 Sq. Ft"
R304443,"1801 LION HEART DR, CEDAR PARK, TX  78613","$466,782",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304443,"2,399 Sq. Ft"
R304444,"1711 LION HEART DR, CEDAR PARK, TX  78613","$352,571",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304444,"1,556 Sq. Ft"
